Title,Authors,Published Date,Description,Page Count,Categories,Category
Cleopatra VII,Kristiana Gregory,1999,"While her father is in hiding after attempts on his life, twelve-year-old Cleopatra records in her diary how she fears for her own safety and hopes to survive to become Queen of Egypt some day.",221.0,Cleopatra,Juvenile Fiction
The Three Robbers,Tomi Ungerer,1962,A story of three robbers who spent their loot on a castle for sad or abandoned children.,48.0,Attitude change,Juvenile Fiction
Camp Big Paw,Doug Cushman,1990,Cyril and his cabin mates Ben and Obie run into trouble with the camp bully during Field Day contests at Camp Big Paw.,64.0,Bullies,Juvenile Fiction
Otto and the Secret Light of Christmas,Nora Surojegin,2016-09-15,"Otto, an elfin adventurer, finds a postcard on the seashore showing pictures of beautiful sparkling lights in the night sky with the words, ""The light of Christmas!"" Otto decides he must find this brightness. So he heads north, trudging through the dark forests and skiing towards the fells of Lapland, in search of the secret light of Christmas.",108.0,Christmas stories,Juvenile Fiction
While the Clock Ticked,Franklin W. Dixon,1975-04-01,A clock in a vacant house provides a clue to the whereabouts of a gang of harbor thieves,174.0,Juvenile Fiction,Juvenile Fiction
Budding Ballerina,Jane O'Connor,2013-10-08,"For use in schools and libraries only. When Fancy Nancy learns that her father and the rest of her family have a lot to learn about ballet, she decides to open up her own ballet school.",0.0,Ballet,Juvenile Fiction
Caring Animals,Rosanna Hansen,2003,"Ideal for today's young investigative reader, each A True Book includes lively sidebars, a glossary and index, plus a comprehensive ""To Find Out More"" section listing books, organizations, and Internet sites. A staple of library collections since the 1950s, the new A True Book series is the definitive nonfiction series for elementary school readers.",56.0,Juvenile Nonfiction,Juvenile Fiction
Waterless Mountain,Laura Adams Armer,1977,No description available,212.0,Navajo Indians,Juvenile Fiction
You Wouldn't Want to Live Without Soap!,Alex Woolf,2015-09,"For use in schools and libraries only. Would you rather put your grubby clothes in the washing machine, or take them down to the river and beat the dirt out of them? You re lucky to have the choice! Soaps and detergents are among the great benefits of modern life. They help to keep us comfort",0.0,JUVENILE NONFICTION,Juvenile Fiction
Academic Language in Diverse Classrooms: Definitions and Contexts,"Margo Gottlieb, Gisela Ernst-Slavit",2014-04-22,"With the rigorous content of College and Career Readiness standards, academic language use has moved to the forefront of educational priorities. School leaders and teachers must ensure that academic language becomes the focus of new curricula, instruction, and assessment, with special attention to linguistically and culturally diverse students. Margo Gottlieb and Gisela Ernst-Slavit's six-book series on academic language is already the definitive resource on the topic. This companion volume provides a concise, thorough overview of the key research concepts and effective practices that underlie the series. It includes, Definitions and examples of the dimensions of academic language, A step-by-step template to incorporate academic language use into plans for student learning, Graphic models that illustrate the construct of academic language and its classroom application, Language is the most fundamental building block of education. Be sure your school is as strong as it can be with this indispensable book.",257.0,Education,Language Arts & Disciplines
Identity Meets Nationality,"Helen Lauer, Nana Aba Appiah Amfo, Jemima Asabea Anderson",2011,"Questions about how social conditioning and historical circumstances influence assumptions about who we are and how others perceive who we are have attracted wide ranging discussion across the disciplines in the arts, humanities and allied sciences. Simultaneously, since the Independence period, scholars have deliberated over the varied implications of new states emerging throughout Africa. The peer-reviewed selected papers for this anthology represent a cross section of the diverse perspectives reflecting research and cross-disciplinary collaborations undertaken by members of the University of Ghana faculty and graduate students working in archaeology, literary criticism of African as well as English and Russian literatures, economics, history, cognitive psychology, linguistics, dance, music, philosophy, sociology, and the study of religions.",314.0,Education,Language Arts & Disciplines
Language and Thinking in School,Kenneth S. Goodman,1987,No description available,440.0,Education,Language Arts & Disciplines
Musico-poetics in Perspective,"Ulrich Weisstein, Jean-Louis Cupers",2000,"The volume is dedicated to the memory of the late Calvin S. Brown of the University of Georgia, author of the first systematically conceived survey - Music and Literature: A Comparison of the Arts (1948) - of the branch of interart studies now generally known as Melopoetics. Part One consists of six original contributions by experts from Austria, Belgium, France, and the United States. Authored by a novelist and a composer/scholar, respectively, the first two essays - Jean Libis's ""Inspiration musicale et composition littéraire: Réflexions sur un roman schubertien"" and David M. Hertz's ""The Composer's Musico-Literary Experience: Reflections on Song Writing"" - focus, not surprisingly, on the creative process. The third piece - Francis' Claudon's review of the pertinent research done between 1970 and 1990 - complements the honoree's analogous report on the preceding decades, reprinted in the present volume, whereas the fourth - Jean-Louis Cupers' ""Métaphores de l'écho et de l'ombre: Regards sur l'évolution des études musico-littéraires"" - surveys the plethora of metaphorical applications, in music and literature, of two significant natural phenomena, the one acoustic and the other optical. Linked to each other, the two remaining papers - Ulrich Weisstein's ""The Miracle of Interconnectedness: Calvin S. Brown, a Critical Biography"" and Walter Bernhart's ""A Profile in Retrospect: Calvin S. Brown as a Musico-Literary Scholar"" - offer critical accounts of the honoree's theoretical and methodological stance as viewed, in the first case, from a biographical angle and, in the second, in the light of subsequent scholarly practice. Part Two bundles eleven of Professor Brown's previously uncollected articles, covering a period of nearly half a century of significant scholarly activity in the field. The selection demonstrates Brown's poignant interest in transpositions d'art exemplifying the ""musicalization"" of literature in the formal and structural, rather than thematic, domain as culminating in his trenchant critique of ""music in poetry"" as understood, somewhat naïvely, by Mallarmé and his critics, and, to a slightly lesser extent, by his translation of Josef Weinhebers' variations on Friedrich Hölderlin's ode ""An die Parzen"". Just as Professor Brown's successive anatomies of melopoetic theory and practice illustrate his steadily growing sophistication and the maturing of his mind, so his Bloomington lecture ""The Writing and Reading of Language and Music: Thoughts on Some Parallels Between two Artistic Media"" reflects his unique ability to assemble, and organize, vast materials and comprehensive data in such a way as to reveal the underlying pattern.",344.0,Art,Language Arts & Disciplines
Novissima linguarum methodus,"Johann Amos Comenius, Honoré Jean, Gilles Bibeau, Jean Caravolas, Claire Le Brun-Gouanvic",2005,No description available,1014.0,Education,Language Arts & Disciplines
The Cambridge Companion to Adam Smith,Knud Haakonssen,2006-03-06,"Adam Smith is best known as the founder of scientific economics and as an early proponent of the modern market economy. Political economy, however, was only one part of Smith's comprehensive intellectual system. Consisting of a theory of mind and its functions in language, arts, science, and social intercourse, Smith's system was a towering contribution to the Scottish Enlightenment. His ideas on social intercourse also served as the basis for a moral theory that provided both historical and theoretical accounts of law, politics, and economics. This Companion volume provides an examination of all aspects of Smith's thought. Collectively, the essays take into account Smith's multiple contexts - Scottish, British, European, Atlantic; biographical, institutional, political, philosophical - and they draw on all of his works, including student notes from his lectures. Pluralistic in approach, the volume provides a contextualist history of Smith, as well as direct philosophical engagement with his ideas.",442.0,Business & Economics,Language Arts & Disciplines
Suggestopedia and Language Acquisition,W. Jane Bancroft,1999,"First Published in 1999. Routledge is an imprint of Taylor & Francis, an informa company.",324.0,Foreign Language Study,Language Arts & Disciplines
Semiotics Unbounded,"Susan Petrilli, Augusto Ponzio",2005-01-01,"The more human knowledge increases, the more signs grow and, with this expansion, the more the boundaries of the science that studies signs also grows. In Semiotics Unbounded, Susan Petrilli and Augusto Ponzio explain the explosion of the sign network in the era of global communication and discuss the important theoretical responses offered by semiotics. Providing a much-needed introductory guide to the subject, Petrilli and Ponzio explore the ever-growing frontiers of semiotics through the thought of prominent sign scholars such as Charles Peirce, Victoria Welby, Mikhail Bakhtin, Charles Morris, and Thomas Sebeok. In an era of global communication, a global approach is necessary, and what may seem to be the whole, is only a part - a view being at once globalizing and open. Each and every sign is never self-sufficient and closed but exists always in a relation of otherness. This is true of the signs forming animals and human beings, individuals and communities, and involves the implication of all living beings in the life of all others. Semiotics Unbounded offers a new and original survey of the science of signs, evaluating it in relation to the problems of our time, not only of a scientific order, but also the problems concerning everyday social life.",657.0,Literary Criticism,Language Arts & Disciplines
Teaching English,Susan Brindley,1994,"The place of English in the secondary curriculum has been the subject of intense debate in the general media as well as in education circles. This reader addresses the key issues of that debate in a way that is both accessible and lively. Separate sections cover the historical background to the debate, including the major teaching areas of speaking, listening, reading and writing, assessment and the professional development of teachers within the subject. Specially commissioned articles look at some of the most controversial issues in the subject--for instance the place of grammar and the centrality of literature in the curriculum. Novice English teachers will find this book an invaluable introduction to the complexities of their subject. For their more experienced colleagues, this text will be an invaluable way to keep up to date with current thinking.",292.0,Art,Language Arts & Disciplines
Language Change,Goparaju Sambasiva Rao,1994,No description available,188.0,India,Language Arts & Disciplines
The Soul in the Brain,Michael R. Trimble,2007-04-17,"By examining the breakdown of language in several neuropsychiatric disorders, neuroscientists have identified brain circuits that are involved with metaphor, poetry, music, and religious experiences.",305.0,Art,Language Arts & Disciplines
Danish dictionary,"Anna Garde, W. Glyn Jones",1995,"Ideal for the serious learner and user of Danish, this two-way dictionary includes accurate translations supported by pertinent examples. Entries are supplemented by a section covering Danish pronunciation and grammar.",978.0,Foreign Language Study,Language Arts & Disciplines
"Bhartr̥hari, Philosopher and Grammarian","Saroja Bhate, Johannes Bronkhorst",1994,"Bhartrhari lived in the tenth century c.e. Being both a grammarian and philosopher, his influence on subsequent grammatical and philosophical thought in India has been enormous in spite of this modern scholarship has not yet given him the attention he deserves no doubt because his extent writings are difficult and were not until recently, available in satisfactory editions. Interest among scholars for Bhartrhari is now, however, growing. This is the reason why an international conference on Bhartrhari was organized in January 1992 in Pune, under the joint auspices of the University of Poons and the University of Lausanne (Switzerland). The present volume contains some of the papers read at this conference as well as an up-to-date bibliography on Bhartrhari.",292.0,Biography & Autobiography,Language Arts & Disciplines
Scripting Addiction,E. Summerson Carr,2010-11-03,"Scripting Addiction takes readers into the highly ritualized world of mainstream American addiction treatment. It is a world where clinical practitioners evaluate how drug users speak about themselves and their problems, and where the ideal of ""healthy"" talk is explicitly promoted, carefully monitored, and identified as the primary sign of therapeutic progress. The book explores the puzzling question: why do addiction counselors dedicate themselves to reconciling drug users' relationship to language in order to reconfigure their relationship to drugs? To answer this question, anthropologist Summerson Carr traces the charged interactions between counselors, clients, and case managers at ""Fresh Beginnings,"" an addiction treatment program for homeless women in the midwestern United States. She shows that shelter, food, and even the custody of children hang in the balance of everyday therapeutic exchanges, such as clinical assessments, individual therapy sessions, and self-help meetings. Acutely aware of the high stakes of self-representation, experienced clients analyze and learn to effectively perform prescribed ways of speaking, a mimetic practice they call ""flipping the script."" As a clinical ethnography, Scripting Addiction examines how decades of clinical theorizing about addiction, language, self-knowledge, and sobriety is manifested in interactions between counselors and clients. As an ethnography of the contemporary United States, the book demonstrates the complex cultural roots of the powerful clinical ideas that shape therapeutic transactions--and by extension administrative routines and institutional dynamics--at sites such as ""Fresh Beginnings.""",336.0,Language Arts & Disciplines,Language Arts & Disciplines
Language in Learning and Teaching (LILT),"Margaret Inglis, Carol Thomson, Carol A. Macdonald",2000,No description available,232.0,Children,Language Arts & Disciplines
Adorno and the Need in Thinking,"Colin J. Campbell, Kathy Kiloh, Jonathan Short",2007-01-01,"Few intellectual figures of the twentieth century dealt with such a vast scope of subjects as Theodor Adorno (1903-1969). His insights, therefore, lend themselves to critical overview as many have cross-disciplinary relevance, appealing to scholars from a variety of backgrounds. Adorno and the Need in Thinking examines questions dealt with in the works of Adorno, offering a glimpse at the development of his complex thought. This collection of essays, though dealing with different topics from section to section, is unified by the idea that, at least in the English-speaking world, there are numerous facets of Adorno's work that have been hitherto neglected in terms of critical scholarship. Adorno and the Need in Thinking addresses these forgotten nuances, whether they apply to questions of politics, language, metaphysics, aesthetics, ecology, or several of these at once. Also included for the first time in English is Adorno's important early essay, ""Theses on the Language of the Philosopher."" At a time when Adorno scholarship is on the rise, this collection sheds light on new areas of critical research, adding another dimension to the existing literature on this most important intellectual.",377.0,Philosophy,Language Arts & Disciplines
Cultural Anthropology,Raymond Scupin,1998,On cultural anthropology,444.0,Social Science,Language Arts & Disciplines
"Language, Culture and Identity",Philip Riley,2007-08-23,Examines how language shapes and is shaped by our identity.,276.0,Language Arts & Disciplines,Language Arts & Disciplines
Logique et théorie du signe au XIVe siècle,Joël Biard,1989,"Vers la fin du XIVe siecle se fait jour une theorie du signe et de la signification qui, par une reelaboration des principaux concepts semantiques, renouvelle toute l'analyse logique du langage. Partant de Guillaume d'Ockham, dont l'oeuvre est ici decisive, cet ouvrage suit le developpement d'une logique fondee sur des elements de semiologie, a travers differents auteurs du XIVe siecle tels que Gauthier Burley, Jean Buridan, Albert de Saxe, Marsile d'Inghen, Pierre d'Ailly... Une telle logique du signe prend place dans toute une mutation du savoir, en ce siecle ou la crise profonde du monde medieval appelle une autre conception des rapports entre l'homme, les choses exterieures et le langage.",348.0,History,Language Arts & Disciplines
The Language of Medicine,Abraham Fuks,2021,"The Lens of Language -- From Words to ""Making Up People"" -- The Nature of Metaphor -- The Militarized Arena of Medicine -- Sources of the Military Metaphor -- Consequences of the Verbal Wars -- Resilience of the Military Metaphor -- In Other Words -- Listening -- A Pharmacology of Words -- The Physician-Patient Relationship -- Choosing Metaphors.",241.0,Health & Fitness,Language Arts & Disciplines
La science du mot,Albert Joseph Carnoy,1927,No description available,446.0,Language,Language Arts & Disciplines
Psychology in Singapore,"Ai-Girl Tan, Michael Goh",2002,No description available,312.0,Counseling,Language Arts & Disciplines
Brain and Language,,1994,"Papers and discussions of the Seminar on Brain and Language, organized by the Neurology Dept. of Sree Chitra Tirunal Institute of Medical Sciences, and Technology and International School of Dravidian Linguistics, Trivandrum, 18-20 Nov. 1993.",248.0,Aphasia,Language Arts & Disciplines
Rational Geomancy,"B. P. Nichol, Toronto Research Group",1992,History of the 18-year critical collaboration between the late bpNichol and Steve McCaffery and its resulting intellectual growth.,326.0,Language Arts & Disciplines,Language Arts & Disciplines
National Languages in the USSR,Magomet Izmailovich Isaev,1977,No description available,442.0,Language Arts & Disciplines,Language Arts & Disciplines
La parole comme acte,Irène Rosier-Catach,1994,No description available,376.0,Language Arts & Disciplines,Language Arts & Disciplines
Le Langage,Bernard Pottier,1973,No description available,554.0,"Dictionaries, Polyglot",Language Arts & Disciplines
Chocs de langues et de cultures,Marie-Christine Bornes Varol,2011,Cette publication est le fruit d'un travail de recherches pluridisciplinaires portant sur les questions de contacts interculturels et sur leur dynamisme.,532.0,Acculturation,Language Arts & Disciplines
"Le choc des langues au Québec, 1760-1970","Guy Bouthillier, Jean Meynaud",1972,"Ce recueil comprend des textes du toute nature (lois, mémoires, rapports d'enquete, articles de journaux, récits, de voyage, poèmes, essais).",788.0,Canada,Language Arts & Disciplines
Turkish Books B1: Anatolian Folk Tales 3,Ali Akpinar,2019-04-23,"Learn Turkish language yourself with Turkish language learning books. Improve your Turkish with Turkish easy reading books for intermediate Turkish language learners. Anatolian Folk Tales 3, simplified folk tales from Jewish, Syriac, Circassian, Kurdish and Greek cultures, is a Turkish easy reading book with exercises and a word list for intermediate Turkish language learners who want to improve their Turkish language by reading easy text and learn new Turkish languagewords and phrases while reading. Anatolian Folk Tales 3 includes vocabulary exercises before the text to learn the new words and expressions in the text and comprehension exercises after the text to understand the text better before reading one more time. Anatolian Folk Tales 3 can be used for self-study, study with your Turkish teacher or part of an intermediate Turkish course as a supplementary material.",80.0,Foreign Language Study,Education
三國志演義 : Romance of the three kingdoms,Guanzhong Luo,,三國志演義 : Romance of the three kingdoms Guanzhong Luo,1242.0,Architecture,Education
Mathematical Mindsets,Jo Boaler,2015-11-02,"Banish math anxiety and give students of all ages a clear roadmap to success Mathematical Mindsets provides practical strategies and activities to help teachers and parents show all children, even those who are convinced that they are bad at math, that they can enjoy and succeed in math. Jo Boaler—Stanford researcher, professor of math education, and expert on math learning—has studied why students don't like math and often fail in math classes. She's followed thousands of students through middle and high schools to study how they learn and to find the most effective ways to unleash the math potential in all students. There is a clear gap between what research has shown to work in teaching math and what happens in schools and at home. This book bridges that gap by turning research findings into practical activities and advice. Boaler translates Carol Dweck's concept of 'mindset' into math teaching and parenting strategies, showing how students can go from self-doubt to strong self-confidence, which is so important to math learning. Boaler reveals the steps that must be taken by schools and parents to improve math education for all. Mathematical Mindsets: Explains how the brain processes mathematics learning Reveals how to turn mistakes and struggles into valuable learning experiences Provides examples of rich mathematical activities to replace rote learning Explains ways to give students a positive math mindset Gives examples of how assessment and grading policies need to change to support real understanding Scores of students hate and fear math, so they end up leaving school without an understanding of basic mathematical concepts. Their evasion and departure hinders math-related pathways and STEM career opportunities. Research has shown very clear methods to change this phenomena, but the information has been confined to research journals—until now. Mathematical Mindsets provides a proven, practical roadmap to mathematics success for any student at any age.",320.0,Education,Education
Pinocchio,Carlo Collodi,2003,No description available,16.0,Education,Education
"Introduction to Mediation, Moderation, and Conditional Process Analysis",Andrew F. Hayes,2013-04-22,"Explaining the fundamentals of mediation and moderation analysis, this engaging book also shows how to integrate the two using an innovative strategy known as conditional process analysis. Procedures are described for testing hypotheses about the mechanisms by which causal effects operate, the conditions under which they occur, and the moderation of mechanisms. Relying on the principles of ordinary least squares regression, Andrew Hayes carefully explains the estimation and interpretation of direct and indirect effects, probing and visualization of interactions, and testing of questions about moderated mediation. Examples using data from published studies illustrate how to conduct and report the analyses described in the book. Of special value, the book introduces and documents PROCESS, a macro for SPSS and SAS that does all the computations described in the book. The companion website (www.afhayes.com) offers free downloads of PROCESS plus data files for the book's examples. Unique features include: *Compelling examples (presumed media influence, sex discrimination in the workplace, and more) with real data; boxes with SAS, SPSS, and PROCESS code; and loads of tips, including how to report mediation, moderation and conditional process analyses. *Appendix that presents documentation on use and features of PROCESS. *Online supplement providing data, code, and syntax for the book's examples.",527.0,Psychology,Education
Visible Learning and the Science of How We Learn,"John Hattie, Gregory C. R. Yates",2013-10-08,"On publication in 2009 John Hattie’s Visible Learning presented the biggest ever collection of research into what actually work in schools to improve children’s learning. Not what was fashionable, not what political and educational vested interests wanted to champion, but what actually produced the best results in terms of improving learning and educational outcomes. It became an instant bestseller and was described by the TES as revealing education’s ‘holy grail’. Now in this latest book, John Hattie has joined forces with cognitive psychologist Greg Yates to build on the original data and legacy of the Visible Learning project, showing how it’s underlying ideas and the cutting edge of cognitive science can form a powerful and complimentary framework for shaping learning in the classroom and beyond. Visible Learning and the Science of How We Learn explains the major principles and strategies of learning, outlining why it can be so hard sometimes, and yet easy on other occasions. Aimed at teachers and students, it is written in an accessible and engaging style and can be read cover to cover, or used on a chapter-by-chapter basis for essay writing or staff development. The book is structured in three parts – ‘learning within classrooms’, ‘learning foundations’, which explains the cognitive building blocks of knowledge acquisition and ‘know thyself’ which explores, confidence and self-knowledge. It also features extensive interactive appendices containing study guide questions to encourage critical thinking, annotated bibliographic entries with recommendations for further reading, links to relevant websites and YouTube clips. Throughout, the authors draw upon the latest international research into how the learning process works and how to maximise impact on students, covering such topics as: teacher personality; expertise and teacher-student relationships; how knowledge is stored and the impact of cognitive load; thinking fast and thinking slow; the psychology of self-control; the role of conversation at school and at home; invisible gorillas and the IKEA effect; digital native theory; myths and fallacies about how people learn. This fascinating book is aimed at any student, teacher or parent requiring an up-to-date commentary on how research into human learning processes can inform our teaching and what goes on in our schools. It takes a broad sweep through findings stemming mainly from social and cognitive psychology and presents them in a useable format for students and teachers at all levels, from preschool to tertiary training institutes.",361.0,Education,Education
The clouds of Aristophanes,Aristophanes,1858,No description available,264.0,Education,Education
A History of Portuguese Overseas Expansion 1400–1668,Malyn Newitt,2004-11-05,"A History of Portuguese Overseas Expansion 1400-1668 provides an accessible survey of how the Portuguese became so influential during this period and how Portuguese settlements were founded in areas as far flung as Asia, Africa and South America. Malyn Newitt examines how the ideas and institutions of a late medieval society were deployed to aid expansion into Africa and the Atlantic islands, as well as how, through rivalry with Castile, this grew into a worldwide commercial enterprise. Finally, he considers how resilient the Portuguese overseas communities were, surviving wars and natural disasters, and fending off attacks by the more heavily armed English and Dutch invaders until well into the 1600s. Including a detailed bibliography and glossary, A History of Portuguese Overseas Expansion 1400-1668 is an invaluable textbook for all those studying this fascinating period of European expansion",319.0,Education,Education
The Romantic Ideology,Jerome J. McGann,1985-02-15,"Claiming that the scholarship and criticism of Romanticism and its works have for too long been dominated by a Romantic ideology—by an uncritical absorption in Romanticism's own self-representations—Jerome J. McGann presents a new, critical view of the subject that calls for a radically revisionary reading of Romanticism. In the course of his study, McGann analyzes both the predominant theories of Romanticism (those deriving from Coleridge, Hegel, and Heine) and the products of its major English practitioners. Words worth, Coleridge, Shelley, and Byron are considered in greatest depth, but the entire movement is subjected to a searching critique. Arguing that poetry is produced and reproduced within concrete historical contexts and that criticism must take these contexts into account, McGann shows how the ideologies embodied in Romantic poetry and theory have shaped and distorted contemporary critical activities.",182.0,Literary Criticism,Education
The Well-Trained Mind: A Guide to Classical Education at Home (Fourth Edition),"Susan Wise Bauer, Jessie Wise",2016-08-09,"Is your child getting lost in the system, becoming bored, losing his or her natural eagerness to learn? If so, it may be time to take charge of your child’s education—by doing it yourself. The Well-Trained Mind will instruct you, step by step, on how to give your child an academically rigorous, comprehensive education from preschool through high school—one that will train him or her to read, to think, to understand, to be well-rounded and curious about learning. Veteran home educators Susan Wise Bauer and Jessie Wise outline the classical pattern of education called the trivium, which organizes learning around the maturing capacity of the child’s mind and comprises three stages: the elementary school “grammar stage,” when the building blocks of information are absorbed through memorization and rules; the middle school “logic stage,” in which the student begins to think more analytically; and the high-school “rhetoric stage,” where the student learns to write and speak with force and originality. Using this theory as your model, you’ll be able to instruct your child—whether full-time or as a supplement to classroom education—in all levels of reading, writing, history, geography, mathematics, science, foreign languages, rhetoric, logic, art, and music, regardless of your own aptitude in those subjects. Thousands of parents and teachers have already used the detailed book lists and methods described in The Well-Trained Mind to create a truly superior education for the children in their care. This extensively revised fourth edition contains completely updated curricula and book lists, links to an entirely new set of online resources, new material on teaching children with learning challenges, cutting-edge math and sciences recommendations, answers to common questions about home education, and advice on practical matters such as standardized testing, working with your local school board, designing a high-school program, preparing transcripts, and applying to colleges. You do have control over what and how your child learns. The Well-Trained Mind will give you the tools you’ll need to teach your child with confidence and success.",619.0,Education,Education
CISSP Official (ISC)2 Practice Tests,"Mike Chapple, David Seidl",2016-07-05,"NOTE: The exam this book covered, CISSP: Certified Information Systems Security Professional (ISC)2, was retired by (ISC)2® in 2018 and is no longer offered. For coverage of the current exam (ISC)2 CISSP Certified Information Systems Security Professional, please look for the latest edition of this guide: (ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests (9781119475927). Full-length practice tests covering all CISSP domains for the ultimate in exam prep The CISSP Official (ISC)2 Practice Tests is a major resource for CISSP candidates, providing 1300 unique practice questions. The first part of the book provides 100 questions per domain so you can practice on any domains you know you need to brush up on. After that, you get two unique 250-question practice exams to help you master the material and practice simulated exam taking well in advance of the exam. The two practice exams cover all exam domains, and are included in identical proportion to the exam itself to help you gauge the relative importance of each topic covered. As the only official practice tests endorsed by the (ISC)2, this book gives you the advantage of full and complete preparation: coverage includes Security and Risk Management; Asset Security; Security Engineering; Communication and Network Security; Identity and Access Management; Security Assessment and Testing; Security Operations; and Software Development Security. These practice tests align with the 2015 version of the exam to ensure up-to-date preparation, and are designed to simulate what you'll see on exam day. The CISSP credential signifies a body of knowledge and a set of guaranteed skills that put you in demand in the marketplace. This book is your ticket to achieving this prestigious certification, by helping you test what you know against what you need to know. Align your preparation with the 2015 CISSP Body of Knowledge Test your knowledge of all exam domains Identify areas in need of further study Gauge your progress throughout your exam preparation The Certified Information Systems Security Professional exam is refreshed every few years to ensure that candidates are up-to-date on the latest security topics and trends. Currently-aligned preparation resources are critical, and periodic practice tests are one of the best ways to truly measure your level of understanding. The CISSP Official (ISC)2 Practice Tests is your secret weapon for success, and the ideal preparation tool for the savvy CISSP candidate.",563.0,Computers,Education
Donald School Textbook of Transvaginal Sonography,"Asim Kurjak, Jose Bajo Arenas",2018-08-16,"This book is a comprehensive guide to transvaginal sonography for practitioners. Divided into five sections, the text begins with discussion on general aspects of ultrasonography and transvaginal scanning. The following sections cover the use of ultrasonography in a variety if gynaecological and obstetrical circumstances. The final sections cover Doppler sonography and 3D and 4D transvaginal sonography. The third edition has been fully revised to provide clinicians with the latest advances in their field. Authored by an internationally recognised team of experts led by Zagreb-based Asim Kurjak and Madrid-based José Bajo Arenas, the text is further enhanced by nearly 700 ultrasound images, photographs, diagrams and tables. Key points Fully revised, third edition presenting latest advances in transvaginal sonography Highly illustrated with nearly 700 ultrasound images, photographs, diagrams and tables Internationally recognised editor and author team Previous edition (9789350904732) published in 2013",537.0,Education,Education
Onna Rashiku (Like A Woman),Karen Ogulnick,1998-01-01,"This book bridges theories of feminism and second language acquisition. Karen Ogulnick examines the dialectic between language learning and identity in this original and interdisciplinary book. Combining autobiographical reflections with a scholarly analysis of a diary she kept while learning Japanese in Hiroshima, her book offers rich insight into the complex interplay between gender, race, culture, social class, historical experiences, and language learning.",174.0,Education,Education
The Reform of Education,Giovanni Gentile,1923,"Trieste Publishing has a massive catalogue of classic book titles. Our aim is to provide readers with the highest quality reproductions of fiction and non-fiction literature that has stood the test of time. The many thousands of books in our collection have been sourced from libraries and private collections around the world.The titles that Trieste Publishing has chosen to be part of the collection have been scanned to simulate the original. Our readers see the books the same way that their first readers did decades or a hundred or more years ago. Books from that period are often spoiled by imperfections that did not exist in the original. Imperfections could be in the form of blurred text, photographs, or missing pages. It is highly unlikely that this would occur with one of our books. Our extensive quality control ensures that the readers of Trieste Publishing's books will be delighted with their purchase. Our staff has thoroughly reviewed every page of all the books in the collection, repairing, or if necessary, rejecting titles that are not of the highest quality. This process ensures that the reader of one of Trieste Publishing's titles receives a volume that faithfully reproduces the original, and to the maximum degree possible, gives them the experience of owning the original work.We pride ourselves on not only creating a pathway to an extensive reservoir of books of the finest quality, but also providing value to every one of our readers. Generally, Trieste books are purchased singly - on demand, however they may also be purchased in bulk. Readers interested in bulk purchases are invited to contact us directly to enquire about our tailored bulk rates.",290.0,Education,Education
Education in Nazi Germany,Lisa Pine,2010-01-01,"This book offers a compelling new analysis of Nazi educational policy, arguing that in order to understand National Socialism, we need to understand its policies on youth.",168.0,History,Education
Teaching Yoga,Mark Stephens,2010-05-25,"Teaching Yoga is an essential resource for new and experienced teachers as well as a guide for all yoga students interested in refining their skills and knowledge. Addressing 100% of the teacher training curriculum standards set by Yoga Alliance, the world's leading registry and accreditation source for yoga teachers and schools, Teaching Yoga is also ideal for use as a core textbook in yoga teacher training programs. Drawing on a wide spectrum of perspectives, and featuring more than 150 photographs and illustrations, the book covers fundamental topics of yoga philosophy and history, including a historical presentation of classical yoga literature: the Vedas, Upanishads, Bhagavad Gita, Yoga Sutras of Pataljali, and the main historical sources on tantra and early hatha yoga. Each of the eleven major styles of contemporary yoga is described, with a brief history of its development and the distinguishing elements of its teachings. Exploring traditional and modern aspects of anatomy and physiology, the book provides extensive support and tools for teaching 108 yoga poses (asanas), breathing techniques (pranayama), and meditation. Teaching Yoga offers practical advice for classroom setup, planning and sequencing classes, as well as the process involved in becoming a teacher and sustaining oneself in the profession. The book has over 200 bibliographic sources, a comprehensive index, and a useful appendix that lists associations, institutes, organizations, and professional resources for yoga teachers.",867.0,Health & Fitness,Education
Intercultural Language Teaching and Learning,"Anthony J. Liddicoat, Angela Scarino",2013-04-22,"This wide-ranging survey of issues in intercultural language teaching and learning covers everything from core concepts to program evaluation, and advocates a fluid, responsive approach to teaching language that reflects its central role in fostering intercultural understanding. Includes coverage of theoretical issues defining language, culture, and communication, as well as practice-driven issues such as classroom interactions, technologies, programs, and language assessment Examines systematically the components of language teaching: language itself, meaning, culture, learning, communicating, and assessments, and puts them in social and cultural context Features numerous examples throughout, drawn from various languages, international contexts, and frameworks Incorporates a decade of in-depth research and detailed documentation from the authors’ collaborative work with practicing teachers Provides a much-needed addition to the sparse literature on intercultural aspects of language education",211.0,Language Arts & Disciplines,Education
